Pledge ID,Tax ID Number,Name1,Name2,Account Number,Effective Interest Rate,Account Type,Class Code Description,Current Balance
11919,5716635726,Fake Name 75,,361330,1.00%,DDA,Demand Deposit,81430.08
14950,9751901020,Fake Name 76,,205787,1.00%,DDA,Demand Deposit,6993.03
18613,6823375276,Fake Name 77,,372349,1.00%,DDA,Demand Deposit,2128336.63
19211,7111048948,Fake Name 78,,744715,1.00%,DDA,Demand Deposit,87843.12
19289,1826719638,Fake Name 79,,659010,1.00%,SAV,Savings,36874.79
19722,7998559148,Fake Name 80,,977102,1.00%,DDA,Demand Deposit,193463.65
19928,6131840513,Fake Name 81,,981217,1.00%,DDA,Demand Deposit,52239.44
14285,9577976410,Fake Name 82,,391190,1.00%,DDA,Demand Deposit,43599.88
11098,6746827253,Fake Name 83,,286703,1.00%,DDA,Demand Deposit,5290.00
15663,8069301502,Fake Name 84,,649063,1.00%,SAV,Savings,13415.81
10649,3816698056,Fake Name 85,,239462,1.00%,DDA,Demand Deposit,100000.00
11368,3337368119,Fake Name 86,,114150,1.00%,DDA,Demand Deposit,10764.06
14610,5616476070,Fake Name 87,,137446,1.00%,DDA,Demand Deposit,5837.15
13197,1953149009,Fake Name 88,,245841,1.00%,DDA,Demand Deposit,166717.19
15987,4342240390,Fake Name 89,,651118,1.00%,SAV,Savings,16527.98
13291,9618609645,Fake Name 90,,940174,1.00%,DDA,Demand Deposit,5180.48
19892,6979664910,Fake Name 91,,972916,1.00%,DDA,Demand Deposit,180949.74
16341,9536226087,Fake Name 92,,754461,1.00%,DDA,Demand Deposit,100824.40
16640,9829187287,Thomas' Toys,,818775,1.00%,DDA,Demand Deposit,700051.52
10339,8293295726,Fake Name 94,,371754,1.00%,SAV,Savings,155351.75
15659,6073057167,Fake Name 95,,928352,1.00%,DDA,Demand Deposit,112693.49
19435,7474352840,Fake Name 96,,399336,1.00%,DDA,Demand Deposit,56679.95
16640,9829187287,Thomas' Toys,,393856,1.00%,DDA,Demand Deposit,320744.90
18381,7059563334,Fake Name 98,,852996,1.00%,DDA,Demand Deposit,18704.10
12503,2091125678,Fake Name 99,,486434,1.00%,SAV,Savings,0.00
10671,4427187334,Fake Name 100,,429131,1.00%,DDA,Demand Deposit,0.00
13279,7735474873,Fake Name 101,,820227,1.00%,DDA,Demand Deposit,24085.85
18801,5963962746,Fake Name 102,,331794,1.00%,DDA,Demand Deposit,51196.61
20003,2288479639,Fake Name 103,,885813,1.00%,DDA,Demand Deposit,250000.00
19132,5735198417,Fake Name 104,,718975,1.00%,SAV,Savings,22617.98
10124,3461994869,Fake Name 105,,494775,1.00%,DDA,Demand Deposit,41166.32
17494,2770837783,Fake Name 106,,331462,1.00%,DDA,Demand Deposit,5630.52
18884,6710081518,Fake Name 107,,314525,1.00%,DDA,Demand Deposit,287.64
12440,6737767693,Fake Name 108,,638678,1.00%,DDA,Demand Deposit,2572852.64
17246,8957670101,Fake Name 109,,146543,1.00%,SAV,Savings,3742633.93
16403,5117182962,Fake Name 110,,671499,1.00%,DDA,Demand Deposit,5000.00
10702,9867825375,Fake Name 111,,400387,1.00%,DDA,Demand Deposit,300.00
19086,9398983961,Fake Name 112,,806598,1.00%,DDA,Demand Deposit,65300.51
12722,3200720572,Fake Name 113,,700485,1.00%,DDA,Demand Deposit,9981.64
15881,9733679705,Fake Name 114,,655337,1.00%,SAV,Savings,131270.54
17521,9621170782,Fake Name 115,,856002,1.00%,DDA,Demand Deposit,43478.92
14365,2386195896,Fake Name 116,,253342,1.00%,DDA,Demand Deposit,109529.69
17424,8600811307,Fake Name 117,,960135,1.00%,DDA,Demand Deposit,17230.31
12333,3035132718,Fake Name 118,,682577,1.00%,DDA,Demand Deposit,16.53
19761,8351787058,Fake Name 119,,867426,1.00%,SAV,Savings,5272.68
15017,2908191491,Fake Name 120,,281065,1.00%,DDA,Demand Deposit,88186.93
16568,8009146801,Fake Name 121,,832730,1.00%,DDA,Demand Deposit,9.93
19375,2446598032,Fake Name 122,,241813,1.00%,DDA,Demand Deposit,235326.84
17164,6179616215,Fake Name 123,,563730,1.00%,DDA,Demand Deposit,365759.28
11223,7435065109,Fake Name 124,,312932,1.00%,SAV,Savings,676362.46
14808,3509842751,Fake Name 125,,869967,1.00%,DDA,Demand Deposit,274688.19
10833,5987621996,Fake Name 126,,907532,1.00%,DDA,Demand Deposit,75000.00
12882,5892983945,Fake Name 127,,365644,1.00%,DDA,Demand Deposit,75000.00
15742,8837266607,Fake Name 128,,159798,1.00%,DDA,Demand Deposit,141650.59
16640,9829187287,Thomas' Toys,,275530,1.00%,SAV,Savings,962642.52
11054,1924087720,Fake Name 130,,383892,1.00%,DDA,Demand Deposit,32274.32
11807,9572109963,Fake Name 131,,958169,1.00%,DDA,Demand Deposit,62925.15
10202,5348246611,Fake Name 132,,876456,1.00%,DDA,Demand Deposit,248584.37
18950,8098932743,Fake Name 133,,143431,1.00%,DDA,Demand Deposit,208865.97
15638,7813974892,Fake Name 134,,190146,1.00%,SAV,Savings,658456.55
16119,5044348886,Fake Name 135,,188914,1.00%,DDA,Demand Deposit,5439.10
17244,8083667741,Fake Name 136,,956548,1.00%,DDA,Demand Deposit,10443.28
19757,2401586138,Fake Name 137,,885401,1.00%,DDA,Demand Deposit,95447.87
12979,2336938033,Fake Name 138,,966492,1.00%,DDA,Demand Deposit,237879.63
12499,9814934170,Fake Name 139,,410265,1.00%,SAV,Savings,555217.49
15277,3051069643,Fake Name 140,,393382,1.00%,DDA,Demand Deposit,4543.41
18926,8177610872,Fake Name 141,,546061,1.00%,DDA,Demand Deposit,153824.16
11460,2687543174,Fake Name 142,,621732,1.00%,DDA,Demand Deposit,1018126.77
10085,5748087999,Fake Name 143,,586568,1.00%,DDA,Demand Deposit,77797.12
19871,5417659053,Fake Name 144,,189589,1.00%,SAV,Savings,524032.93
19999,4081404117,Fake Name 145,,779946,1.00%,DDA,Demand Deposit,375137.24
18903,9279247318,Fake Name 146,,955927,1.00%,DDA,Demand Deposit,75816.73
10332,7713500151,Fake Name 147,,136877,1.00%,DDA,Demand Deposit,460091.35
16239,8196230689,Fake Name 148,,262475,1.00%,DDA,Demand Deposit,519319.44
16640,9829187287,Thomas' Toys,,744236,1.00%,SAV,Savings,713410.68
12566,1397153862,Fake Name 150,,622723,1.00%,DDA,Demand Deposit,546359.39
13671,6271767540,Fake Name 151,,957579,1.00%,DDA,Demand Deposit,143594.07
13703,5708359389,Fake Name 152,,148732,1.00%,DDA,Demand Deposit,213213.80
18412,9222990169,Fake Name 153,,177404,1.00%,DDA,Demand Deposit,213213.80
13233,4674759181,Fake Name 154,,606298,1.00%,SAV,Savings,106606.91
18615,7508349068,Fake Name 155,,963995,1.00%,DDA,Demand Deposit,207615.49
15474,5612742397,Fake Name 156,,403397,1.00%,DDA,Demand Deposit,15965.76
18817,3680343876,Fake Name 157,,207372,1.00%,DDA,Demand Deposit,310271.74
10195,6591016742,Fake Name 158,,488043,1.00%,DDA,Demand Deposit,17750.00
16431,8786623598,Fake Name 159,,820890,1.00%,SAV,Savings,329707.35
13469,6587522326,Fake Name 160,,836374,1.00%,DDA,Demand Deposit,16834.89
17248,8174357411,Fake Name 161,,979193,1.00%,DDA,Demand Deposit,53441.58
15756,3625629845,Fake Name 162,,741544,1.00%,DDA,Demand Deposit,100000.00
15173,8228493475,Fake Name 163,,670521,1.00%,DDA,Demand Deposit,3347.16
15281,6803325289,Fake Name 164,,532893,1.00%,SAV,Savings,4979433.08
12963,1497592150,Fake Name 165,,359894,1.00%,DDA,Demand Deposit,96997.41
17905,1737775384,Fake Name 166,,295513,1.00%,DDA,Demand Deposit,1703187.33
11849,8508722461,Fake Name 167,,996837,1.00%,DDA,Demand Deposit,471684.71
16020,5583246724,Fake Name 168,,306339,1.00%,DDA,Demand Deposit,15.10
14830,6731111075,Fake Name 169,,835427,1.00%,SAV,Savings,787201.76
16343,6444529117,Fake Name 170,,739505,1.00%,DDA,Demand Deposit,9799.01
13765,7800815932,Fake Name 171,,896710,1.00%,DDA,Demand Deposit,2238150.81
17718,3278256814,Fake Name 172,,178217,1.00%,DDA,Demand Deposit,3386.95
18335,5260587557,Fake Name 173,,507431,1.00%,DDA,Demand Deposit,59.54
13898,2111737541,Fake Name 174,,702420,1.00%,SAV,Savings,85057.94
20004,3081251500,Fake Name 175,,970788,1.00%,DDA,Demand Deposit,28190.30
13669,2374877249,Fake Name 176,,439723,1.00%,DDA,Demand Deposit,91.61
12267,4417388587,Fake Name 177,,530869,1.00%,DDA,Demand Deposit,153137.84
18643,6279593099,Fake Name 178,,551512,1.00%,DDA,Demand Deposit,15816.73
17454,8460987094,Fake Name 179,,764746,1.00%,SAV,Savings,674568.89
11413,8361225561,Fake Name 180,,926853,1.00%,DDA,Demand Deposit,2000836.29
19355,4948741818,Fake Name 181,,127213,1.00%,DDA,Demand Deposit,319095.66
16179,6783545193,Fake Name 182,,949635,1.00%,DDA,Demand Deposit,609665.62
11118,8474536530,Fake Name 183,,529376,1.00%,DDA,Demand Deposit,29550.08
17820,6422625010,Fake Name 184,,460319,1.00%,SAV,Savings,27054.12
10412,5974295703,Fake Name 185,,507570,1.00%,DDA,Demand Deposit,38747.43
14541,8966882984,Fake Name 186,,245991,1.00%,DDA,Demand Deposit,42423.07
16317,9903277708,Fake Name 187,,262809,1.00%,DDA,Demand Deposit,195744.55
14761,8512071808,Fake Name 188,,781521,1.00%,DDA,Demand Deposit,250.00
11868,4487667901,Fake Name 189,,698201,1.00%,SAV,Savings,8330.37
11110,6609010524,Fake Name 190,,674340,1.00%,DDA,Demand Deposit,89685.03
13263,3782604761,Fake Name 191,,379202,1.00%,DDA,Demand Deposit,105091.78
14329,3638174885,Fake Name 192,,748016,1.00%,DDA,Demand Deposit,189995.31
19858,7017398767,Fake Name 193,,678739,1.00%,DDA,Demand Deposit,121716.03
10547,3930355525,Fake Name 194,,197172,1.00%,SAV,Savings,130452.09
19916,7048508745,Fake Name 195,,279304,1.00%,DDA,Demand Deposit,130452.09
13025,5443049637,Fake Name 196,,331226,1.00%,DDA,Demand Deposit,222506.17
11349,5380410113,Fake Name 197,,585584,1.00%,DDA,Demand Deposit,100000.00
16829,6749839107,Fake Name 198,,262292,1.00%,DDA,Demand Deposit,72927.62
13533,8541805649,Fake Name 199,,302949,1.00%,SAV,Savings,19395.92
18721,3937700534,Fake Name 200,,406142,1.00%,DDA,Demand Deposit,12548.61
11498,5117826863,Fake Name 201,,954498,1.00%,DDA,Demand Deposit,51074.18
13959,2749267514,Fake Name 202,,829690,1.00%,DDA,Demand Deposit,130369.22
14595,9024265262,Fake Name 203,,485992,1.00%,DDA,Demand Deposit,25000.00
10632,3616246611,Fake Name 204,,303600,1.00%,SAV,Savings,586.92
15071,9392207062,Fake Name 205,,551224,1.00%,DDA,Demand Deposit,2501.86
12537,1595864583,Fake Name 206,,986323,1.00%,DDA,Demand Deposit,651119.43
13390,1056277099,Fake Name 207,,907944,1.00%,DDA,Demand Deposit,42500.65
15350,9086913446,Fake Name 208,,612704,1.00%,DDA,Demand Deposit,242830.96
10003,8640790566,Fake Name 209,,275089,1.00%,SAV,Savings,314396.68
17162,6938359245,Fake Name 210,,617182,1.00%,DDA,Demand Deposit,27284.80
17409,3212711199,Fake Name 211,,834263,1.00%,DDA,Demand Deposit,21830.76
15186,9563969826,Fake Name 212,,321129,1.00%,DDA,Demand Deposit,107477.43
10541,4201938638,Fake Name 213,,164184,1.00%,DDA,Demand Deposit,517785.99
13216,4036117874,Fake Name 214,,436925,1.00%,SAV,Savings,216358.51
13086,2937425110,Fake Name 215,,231235,1.00%,DDA,Demand Deposit,204980.60
14565,6883829242,Fake Name 216,,592041,1.00%,DDA,Demand Deposit,12620.52
16640,9829187287,Thomas' Toys,,729646,1.00%,DDA,Demand Deposit,1098029.24
19242,6284271241,Fake Name 218,,848497,1.00%,DDA,Demand Deposit,38000.00
15646,3460739314,Fake Name 219,,834099,1.00%,SAV,Savings,77801.33
12034,7754554127,Fake Name 220,,389221,1.00%,DDA,Demand Deposit,2935.91
11685,8401351108,Fake Name 221,,517065,1.00%,DDA,Demand Deposit,754610.60
18425,7680405704,Fake Name 222,,986648,1.00%,DDA,Demand Deposit,55410.51
11275,7924493371,Fake Name 223,,544602,1.00%,DDA,Demand Deposit,3034.22
16709,4717822805,Fake Name 224,,607882,1.00%,SAV,Savings,115764.68
14088,2684316035,Fake Name 225,,431582,1.00%,DDA,Demand Deposit,86910.28
19560,2910317707,Fake Name 226,,857357,1.00%,DDA,Demand Deposit,90183.86
15495,7454612570,Fake Name 227,,964288,1.00%,DDA,Demand Deposit,6564.73
10316,7771118758,Fake Name 228,,390461,1.00%,DDA,Demand Deposit,52851.82
16752,4980157881,Fake Name 229,,236759,1.00%,SAV,Savings,38433.12
11544,2972871294,Fake Name 230,,128934,1.00%,DDA,Demand Deposit,5307848.17
17933,4319051621,Fake Name 231,,206520,1.00%,DDA,Demand Deposit,3550147.05
13402,7327419246,Fake Name 232,,795443,1.00%,DDA,Demand Deposit,9130791.45
10753,3430162493,Fake Name 233,,610116,1.00%,DDA,Demand Deposit,1685486.89
14476,6219883458,Fake Name 234,,892806,1.00%,SAV,Savings,35762686.44
13663,8559712072,Fake Name 235,,885564,1.00%,DDA,Demand Deposit,362097.00
18098,1586790227,Fake Name 236,,298796,1.00%,DDA,Demand Deposit,69538.16
19708,7729158687,Fake Name 237,,534545,1.00%,DDA,Demand Deposit,1338860.63
13552,7151356579,Fake Name 238,,390583,1.00%,DDA,Demand Deposit,0.50
19979,9722717639,Fake Name 239,,361791,1.00%,SAV,Savings,177281.54
12608,4908346449,Fake Name 240,,839365,1.00%,DDA,Demand Deposit,4817289.08
12059,6490019291,Fake Name 241,,402132,1.00%,DDA,Demand Deposit,4510846.52
10507,1790374081,Fake Name 242,,541028,1.00%,DDA,Demand Deposit,229336.73
17904,9600413151,Fake Name 243,,202259,1.00%,DDA,Demand Deposit,1248125.12
16207,6055103273,Fake Name 244,,586177,1.00%,SAV,Savings,74813.07
12339,4030721811,Fake Name 245,,658209,1.00%,DDA,Demand Deposit,611442.61
10490,9949634296,Fake Name 246,,498474,1.00%,DDA,Demand Deposit,241700.15
17196,6434193644,Fake Name 247,,717458,1.00%,DDA,Demand Deposit,1111.05
11930,7799635926,Fake Name 248,,732323,1.00%,DDA,Demand Deposit,2121819.30
16730,2199625196,Fake Name 249,,362959,1.00%,SAV,Savings,233801.84
15615,1639849273,Fake Name 250,,629145,1.00%,DDA,Demand Deposit,33647.19
12731,3810172182,Fake Name 251,,225534,1.00%,DDA,Demand Deposit,581112.89
16016,4329784398,Fake Name 252,,985682,1.00%,DDA,Demand Deposit,4705811.62
18265,5234015421,Fake Name 253,,227079,1.00%,DDA,Demand Deposit,250000.00
19386,3883092446,Fake Name 254,,329254,1.00%,SAV,Savings,5370387.96
15800,6503463060,Fake Name 255,,202455,1.00%,DDA,Demand Deposit,9875927.41
18507,3270926507,Fake Name 256,,274163,1.00%,DDA,Demand Deposit,280173.19
19387,3198791663,Fake Name 257,,295564,1.00%,DDA,Demand Deposit,3000.00
16278,2976765686,Fake Name 258,,719116,1.00%,DDA,Demand Deposit,196063.70
12088,9460798761,Fake Name 259,,770207,1.00%,SAV,Savings,3835852.64
16371,1729908372,Fake Name 260,,144151,1.00%,DDA,Demand Deposit,20133.74
13152,1676797446,Fake Name 261,,471000,1.00%,DDA,Demand Deposit,1240393.89
14887,6920556620,Fake Name 262,,517681,1.00%,DDA,Demand Deposit,868580.39
11392,4583753531,Fake Name 263,,989451,1.00%,DDA,Demand Deposit,32828.01
15327,5922036536,Fake Name 264,,492154,1.00%,SAV,Savings,947263.70
15042,2346229795,Fake Name 265,,922252,1.00%,DDA,Demand Deposit,68054.87
17541,7949343832,Fake Name 266,,617384,1.00%,DDA,Demand Deposit,139112.26
10869,2098960115,Fake Name 267,,651772,1.00%,DDA,Demand Deposit,1201287.96
10605,9453221934,Fake Name 268,,191767,1.00%,DDA,Demand Deposit,274394.92
10840,9594842085,Fake Name 269,,449473,1.00%,SAV,Savings,1.00
15144,3417203932,Fake Name 270,,547767,1.00%,DDA,Demand Deposit,17437.51
11283,4612765839,Fake Name 271,,717862,1.00%,DDA,Demand Deposit,98432.53
10904,4595149771,Fake Name 272,,658138,1.00%,DDA,Demand Deposit,217433.79
16872,2767588487,Fake Name 273,,164298,1.00%,DDA,Demand Deposit,3209.22
15313,7279233646,Fake Name 274,,747160,1.00%,SAV,Savings,184.86
11534,2819832072,Fake Name 275,,960592,1.00%,DDA,Demand Deposit,111432.99
15888,6076843027,Fake Name 276,,117864,1.00%,DDA,Demand Deposit,139779.98
16762,7505136042,Fake Name 277,,759339,1.00%,DDA,Demand Deposit,411.53
14116,8762991940,Fake Name 278,,881275,1.00%,DDA,Demand Deposit,47.60
12116,8673799029,Fake Name 279,,990003,1.00%,SAV,Savings,210553.39
14594,4428382293,Fake Name 280,,712401,1.00%,DDA,Demand Deposit,166172.65
17748,6426910794,Fake Name 281,,525476,1.00%,DDA,Demand Deposit,33265.00
13730,4376385668,Fake Name 282,,241514,1.00%,DDA,Demand Deposit,0.00
12422,6651879864,Fake Name 283,,776175,1.00%,DDA,Demand Deposit,100436.74
14599,4989204516,Fake Name 284,,962904,1.00%,SAV,Savings,28085.80
14788,8969083679,Fake Name 285,,961439,1.00%,DDA,Demand Deposit,0.60
16146,2486278452,Fake Name 286,,962910,1.00%,DDA,Demand Deposit,919187.45
13445,7837039542,Fake Name 287,,905029,1.00%,DDA,Demand Deposit,134066.66
16574,7947953638,Fake Name 288,,633726,1.00%,DDA,Demand Deposit,100053.19
17321,5991341578,Fake Name 289,,285603,1.00%,SAV,Savings,3105.68
16640,9829187287,Thomas' Toys,,211000,1.00%,DDA,Demand Deposit,2544273.91
13052,9937214890,Fake Name 291,,302330,1.00%,DDA,Demand Deposit,39695.13
14177,1599027439,Fake Name 292,,662416,1.00%,DDA,Demand Deposit,239098.14
19010,5877596503,Fake Name 293,,687690,1.00%,DDA,Demand Deposit,46202.02
14622,7229715546,Fake Name 294,,654983,1.00%,SAV,Savings,577593.84
18624,6159822528,Fake Name 295,,247358,1.00%,DDA,Demand Deposit,102558.50
10736,8858796770,Fake Name 296,,458662,1.00%,DDA,Demand Deposit,124945.50
16707,7609438942,Fake Name 297,,140779,1.00%,DDA,Demand Deposit,61575.82
19961,8971888834,Fake Name 298,,286981,1.00%,DDA,Demand Deposit,7623.02
10783,9566332457,Fake Name 299,,587434,1.00%,SAV,Savings,8770.61
17827,5619721114,Fake Name 300,,483608,1.00%,DDA,Demand Deposit,6294.28
10398,1625637741,Fake Name 301,,837589,1.00%,DDA,Demand Deposit,542698.38
18619,9216153446,Fake Name 302,,658636,1.00%,DDA,Demand Deposit,2408.31
15367,9262889903,Fake Name 303,,100994,1.00%,DDA,Demand Deposit,226.12
14413,9527921239,Fake Name 304,,353000,1.00%,SAV,Savings,9366.08
19202,8525601724,Fake Name 305,,813785,1.00%,DDA,Demand Deposit,23681754.17
15667,6852577560,Fake Name 306,,766511,1.00%,DDA,Demand Deposit,5471828.29
13430,8320051027,Fake Name 307,,950358,1.00%,DDA,Demand Deposit,72094.52
14418,1105189151,Fake Name 308,,590666,1.00%,DDA,Demand Deposit,725086.72
16941,3913951469,Fake Name 309,,590012,1.00%,SAV,Savings,197200.79
11053,7314761630,Fake Name 310,,459906,1.00%,DDA,Demand Deposit,31183.25
12956,6918187955,Fake Name 311,,541952,1.00%,DDA,Demand Deposit,1275105.52
13852,3410889341,Fake Name 312,,827649,1.00%,DDA,Demand Deposit,0.00
14310,6610784540,Fake Name 313,,576353,1.00%,DDA,Demand Deposit,0.00
11856,6333957768,Fake Name 314,,794790,1.00%,SAV,Savings,70100.40
16640,9829187287,Thomas' Toys,,868662,1.00%,DDA,Demand Deposit,589651.85
18375,3954122442,Fake Name 316,,959703,1.00%,DDA,Demand Deposit,923988.20
18279,5520486138,Fake Name 317,,369966,1.00%,DDA,Demand Deposit,726654.21
10357,2729955739,Fake Name 318,,273155,1.00%,DDA,Demand Deposit,53095.16
12159,7441934064,Fake Name 319,,877080,1.00%,SAV,Savings,16185.90
19576,9019629533,Fake Name 320,,547800,1.00%,DDA,Demand Deposit,2093.95
19700,9195468284,Fake Name 321,,440138,1.00%,DDA,Demand Deposit,203656.79
18565,4846445319,Fake Name 322,,778726,1.00%,DDA,Demand Deposit,118149.06
14758,4914542071,Fake Name 323,,988718,1.00%,DDA,Demand Deposit,2675.44
14442,1852876424,Fake Name 324,,427544,1.00%,SAV,Savings,199.70
10252,7288792043,Fake Name 325,,356961,1.00%,DDA,Demand Deposit,65412.46
15333,4607050603,Fake Name 326,,463444,1.00%,DDA,Demand Deposit,16025.73
13740,4812045827,Fake Name 327,,133727,1.00%,DDA,Demand Deposit,2997.08
19601,4178318844,Fake Name 328,,929939,1.00%,DDA,Demand Deposit,146230.67
18549,1353494582,Fake Name 329,,477562,1.00%,SAV,Savings,455.32
17137,1776135482,Fake Name 330,,316371,1.00%,DDA,Demand Deposit,118786.13
18509,6397288175,Fake Name 331,,594330,1.00%,DDA,Demand Deposit,92676.59
10050,7373773026,Fake Name 332,,942169,1.00%,DDA,Demand Deposit,41311.49
